created,id,modified,name,originalLastModified,project,s3Key,size,uploadedBy,state,hasWritePermission,recorderSerialNumber,recorder,recordingDatetime
2025-03-11T16:02:57.777609+01:00,37164,2025-03-14T09:14:31.317586+01:00,cmb---_20230914_154118_2040_2100_ch1.wav,2024-03-06T11:43:24+01:00,55,cmb---_20230914_154118_2040_2100_ch1.wav,5292044,22,uploaded,True,1,{},2023-09-14T17:41:18+02:00
2025-03-11T16:02:57.778433+01:00,37165,2025-03-14T09:14:31.323185+01:00,cmb---_20230914_154118_2100_2160_ch0.wav,2024-03-06T11:43:22+01:00,55,cmb---_20230914_154118_2100_2160_ch0.wav,5292044,22,uploaded,True,1,{},2023-09-14T17:41:18+02:00
2025-03-11T16:02:57.779216+01:00,37166,2025-03-14T09:14:31.328994+01:00,cmb---_20230914_154118_2100_2160_ch1.wav,2024-03-06T11:43:24+01:00,55,cmb---_20230914_154118_2100_2160_ch1.wav,5292044,22,uploaded,True,1,{},2023-09-14T17:41:18+02:00
2025-03-11T16:02:57.780241+01:00,37167,2025-03-14T09:14:31.333782+01:00,cmb---_20230914_154118_2160_2220_ch0.wav,2024-03-06T11:43:22+01:00,55,cmb---_20230914_154118_2160_2220_ch0.wav,5292044,22,uploaded,True,1,{},2023-09-14T17:41:18+02:00
2025-03-11T16:02:57.781028+01:00,37168,2025-03-14T09:14:31.338335+01:00,cmb---_20230914_154118_2160_2220_ch1.wav,2024-03-06T11:43:24+01:00,55,cmb---_20230914_154118_2160_2220_ch1.wav,5292044,22,uploaded,True,1,{},2023-09-14T17:41:18+02:00
2025-03-11T16:02:57.783302+01:00,37171,2025-03-14T09:14:31.351641+01:00,cmb---_20230914_154118_2280_2340_ch0.wav,2024-03-06T11:43:24+01:00,55,cmb---_20230914_154118_2280_2340_ch0.wav,5292044,22,uploaded,True,1,{},2023-09-14T17:41:18+02:00
2025-03-11T16:02:57.784052+01:00,37172,2025-03-14T09:14:31.355947+01:00,cmb---_20230914_154118_2280_2340_ch1.wav,2024-03-06T11:43:24+01:00,55,cmb---_20230914_154118_2280_2340_ch1.wav,5292044,22,uploaded,True,1,{},2023-09-14T17:41:18+02:00
2025-03-11T16:02:57.786273+01:00,37175,2025-03-14T09:14:31.370026+01:00,cmb---_20230914_154118_2400_2460_ch0.wav,2024-03-06T11:43:24+01:00,55,cmb---_20230914_154118_2400_2460_ch0.wav,5292044,22,uploaded,True,1,{},2023-09-14T17:41:18+02:00
2025-03-11T16:02:57.787014+01:00,37176,2025-03-14T09:14:31.374225+01:00,cmb---_20230914_154118_2400_2460_ch1.wav,2024-03-06T11:43:24+01:00,55,cmb---_20230914_154118_2400_2460_ch1.wav,5292044,22,uploaded,True,1,{},2023-09-14T17:41:18+02:00
2025-03-11T16:02:57.788554+01:00,37178,2025-03-14T09:14:31.382988+01:00,cmb---_20230914_154118_2460_2520_ch1.wav,2024-03-06T11:43:24+01:00,55,cmb---_20230914_154118_2460_2520_ch1.wav,5292044,22,uploaded,True,1,{},2023-09-14T17:41:18+02:00
2025-03-11T16:02:57.789347+01:00,37179,2025-03-14T09:14:31.387211+01:00,cmb---_20230914_154118_2520_2580_ch0.wav,2024-03-06T11:43:24+01:00,55,cmb---_20230914_154118_2520_2580_ch0.wav,5292044,22,uploaded,True,1,{},2023-09-14T17:41:18+02:00
2025-03-11T16:02:57.790051+01:00,37180,2025-03-14T09:14:31.391602+01:00,cmb---_20230914_154118_2520_2580_ch1.wav,2024-03-06T11:43:24+01:00,55,cmb---_20230914_154118_2520_2580_ch1.wav,5292044,22,uploaded,True,1,{},2023-09-14T17:41:18+02:00
2025-03-11T16:02:57.790846+01:00,37181,2025-03-14T09:14:31.395661+01:00,cmb---_20230914_154118_2580_2640_ch0.wav,2024-03-06T11:43:24+01:00,55,cmb---_20230914_154118_2580_2640_ch0.wav,5292044,22,uploaded,True,1,{},2023-09-14T17:41:18+02:00
2025-03-11T16:02:57.791581+01:00,37182,2025-03-14T09:14:31.399918+01:00,cmb---_20230914_154118_2580_2640_ch1.wav,2024-03-06T11:43:24+01:00,55,cmb---_20230914_154118_2580_2640_ch1.wav,5292044,22,uploaded,True,1,{},2023-09-14T17:41:18+02:00
2025-03-11T16:02:57.792310+01:00,37183,2025-03-14T09:14:31.404026+01:00,cmb---_20230914_154118_2640_2700_ch0.wav,2024-03-06T11:43:24+01:00,55,cmb---_20230914_154118_2640_2700_ch0.wav,5292044,22,uploaded,True,1,{},2023-09-14T17:41:18+02:00
2025-03-11T16:02:57.793026+01:00,37184,2025-03-14T09:14:31.408178+01:00,cmb---_20230914_154118_2640_2700_ch1.wav,2024-03-06T11:43:24+01:00,55,cmb---_20230914_154118_2640_2700_ch1.wav,5292044,22,uploaded,True,1,{},2023-09-14T17:41:18+02:00
2025-03-11T16:02:57.793845+01:00,37185,2025-03-14T09:14:31.412320+01:00,cmb---_20230914_154118_2700_2760_ch0.wav,2024-03-06T11:43:24+01:00,55,cmb---_20230914_154118_2700_2760_ch0.wav,5292044,22,uploaded,True,1,{},2023-09-14T17:41:18+02:00
2025-03-11T16:02:57.794615+01:00,37186,2025-03-14T09:14:31.416405+01:00,cmb---_20230914_154118_2700_2760_ch1.wav,2024-03-06T11:43:24+01:00,55,cmb---_20230914_154118_2700_2760_ch1.wav,5292044,22,uploaded,True,1,{},2023-09-14T17:41:18+02:00
2025-03-11T16:02:57.795321+01:00,37187,2025-03-14T09:14:31.420732+01:00,cmb---_20230914_154118_2760_2820_ch0.wav,2024-03-06T11:43:24+01:00,55,cmb---_20230914_154118_2760_2820_ch0.wav,5292044,22,uploaded,True,1,{},2023-09-14T17:41:18+02:00
2025-03-11T16:02:57.781827+01:00,37169,2025-03-14T09:14:31.342854+01:00,cmb---_20230914_154118_2220_2280_ch0.wav,2024-03-06T11:43:24+01:00,55,cmb---_20230914_154118_2220_2280_ch0.wav,5292044,22,uploaded,True,1,{},2023-09-14T17:41:18+02:00
2025-03-11T16:02:57.784763+01:00,37173,2025-03-14T09:14:31.360098+01:00,cmb---_20230914_154118_2340_2400_ch0.wav,2024-03-06T11:43:24+01:00,55,cmb---_20230914_154118_2340_2400_ch0.wav,5292044,22,uploaded,True,1,{},2023-09-14T17:41:18+02:00
2025-03-11T16:02:57.787777+01:00,37177,2025-03-14T09:14:31.378399+01:00,cmb---_20230914_154118_2460_2520_ch0.wav,2024-03-06T11:43:24+01:00,55,cmb---_20230914_154118_2460_2520_ch0.wav,5292044,22,uploaded,True,1,{},2023-09-14T17:41:18+02:00
2025-03-11T16:02:57.776116+01:00,37163,2025-03-14T09:14:31.311839+01:00,cmb---_20230914_154118_2040_2100_ch0.wav,2024-03-06T11:43:22+01:00,55,cmb---_20230914_154118_2040_2100_ch0.wav,5292044,22,uploaded,True,1,{},2023-09-14T17:41:18+02:00
2025-03-11T16:02:57.782622+01:00,37170,2025-03-14T09:14:31.347153+01:00,cmb---_20230914_154118_2220_2280_ch1.wav,2024-03-06T11:43:24+01:00,55,cmb---_20230914_154118_2220_2280_ch1.wav,5292044,22,uploaded,True,1,{},2023-09-14T17:41:18+02:00
2025-03-11T16:02:57.785536+01:00,37174,2025-03-14T09:14:31.364345+01:00,cmb---_20230914_154118_2340_2400_ch1.wav,2024-03-06T11:43:24+01:00,55,cmb---_20230914_154118_2340_2400_ch1.wav,5292044,22,uploaded,True,1,{},2023-09-14T17:41:18+02:00
2025-03-11T16:03:17.453797+01:00,37189,2025-03-14T09:14:31.428881+01:00,cmb---_20230914_154118_720_780_ch0.wav,2024-03-06T11:43:22+01:00,55,cmb---_20230914_154118_720_780_ch0.wav,5292044,22,uploaded,True,1,{},2023-09-14T17:41:18+02:00
2025-03-11T16:03:17.454826+01:00,37190,2025-03-14T09:14:31.432965+01:00,cmb---_20230914_154118_720_780_ch1.wav,2024-03-06T11:43:24+01:00,55,cmb---_20230914_154118_720_780_ch1.wav,5292044,22,uploaded,True,1,{},2023-09-14T17:41:18+02:00
2025-03-11T16:03:17.455706+01:00,37191,2025-03-14T09:14:31.436975+01:00,cmb---_20230914_154118_780_840_ch0.wav,2024-03-06T11:43:22+01:00,55,cmb---_20230914_154118_780_840_ch0.wav,5292044,22,uploaded,True,1,{},2023-09-14T17:41:18+02:00
2025-03-11T16:03:17.456589+01:00,37192,2025-03-14T09:14:31.440987+01:00,cmb---_20230914_154118_780_840_ch1.wav,2024-03-06T11:43:24+01:00,55,cmb---_20230914_154118_780_840_ch1.wav,5292044,22,uploaded,True,1,{},2023-09-14T17:41:18+02:00
2025-03-11T16:03:17.457867+01:00,37193,2025-03-14T09:14:31.445111+01:00,cmb---_20230914_154118_840_900_ch0.wav,2024-03-06T11:43:22+01:00,55,cmb---_20230914_154118_840_900_ch0.wav,5292044,22,uploaded,True,1,{},2023-09-14T17:41:18+02:00
2025-03-11T16:03:17.458716+01:00,37194,2025-03-14T09:14:31.449064+01:00,cmb---_20230914_154118_840_900_ch1.wav,2024-03-06T11:43:24+01:00,55,cmb---_20230914_154118_840_900_ch1.wav,5292044,22,uploaded,True,1,{},2023-09-14T17:41:18+02:00
2025-03-11T16:03:17.460448+01:00,37196,2025-03-14T09:14:31.457570+01:00,cmb---_20230914_154118_900_960_ch1.wav,2024-03-06T11:43:24+01:00,55,cmb---_20230914_154118_900_960_ch1.wav,5292044,22,uploaded,True,1,{},2023-09-14T17:41:18+02:00
2025-03-11T16:03:17.462049+01:00,37198,2025-03-14T09:14:31.466725+01:00,cmb---_20230914_154118_960_1020_ch1.wav,2024-03-06T11:43:24+01:00,55,cmb---_20230914_154118_960_1020_ch1.wav,5292044,22,uploaded,True,1,{},2023-09-14T17:41:18+02:00
2025-03-11T16:03:17.462955+01:00,37199,2025-03-14T09:14:31.471160+01:00,cmb---_20230914_154118_1020_1080_ch0.wav,2024-03-06T11:43:22+01:00,55,cmb---_20230914_154118_1020_1080_ch0.wav,5292044,22,uploaded,True,1,{},2023-09-14T17:41:18+02:00
2025-03-11T16:03:17.465353+01:00,37202,2025-03-14T09:14:31.483279+01:00,cmb---_20230914_154118_1080_1140_ch1.wav,2024-03-06T11:43:24+01:00,55,cmb---_20230914_154118_1080_1140_ch1.wav,5292044,22,uploaded,True,1,{},2023-09-14T17:41:18+02:00
2025-03-11T16:03:17.466200+01:00,37203,2025-03-14T09:14:31.487377+01:00,cmb---_20230914_154118_1140_1200_ch0.wav,2024-03-06T11:43:22+01:00,55,cmb---_20230914_154118_1140_1200_ch0.wav,5292044,22,uploaded,True,1,{},2023-09-14T17:41:18+02:00
2025-03-11T16:03:17.467023+01:00,37204,2025-03-14T09:14:31.491719+01:00,cmb---_20230914_154118_1140_1200_ch1.wav,2024-03-06T11:43:24+01:00,55,cmb---_20230914_154118_1140_1200_ch1.wav,5292044,22,uploaded,True,1,{},2023-09-14T17:41:18+02:00
2025-03-11T16:03:17.469568+01:00,37207,2025-03-14T09:14:31.507702+01:00,cmb---_20230914_154118_1260_1320_ch0.wav,2024-03-06T11:43:22+01:00,55,cmb---_20230914_154118_1260_1320_ch0.wav,5292044,22,uploaded,True,1,{},2023-09-14T17:41:18+02:00
2025-03-11T16:03:17.470474+01:00,37208,2025-03-14T09:14:31.511784+01:00,cmb---_20230914_154118_1260_1320_ch1.wav,2024-03-06T11:43:24+01:00,55,cmb---_20230914_154118_1260_1320_ch1.wav,5292044,22,uploaded,True,1,{},2023-09-14T17:41:18+02:00
2025-03-11T16:03:17.471273+01:00,37209,2025-03-14T09:14:31.515888+01:00,cmb---_20230914_154118_1320_1380_ch0.wav,2024-03-06T11:43:22+01:00,55,cmb---_20230914_154118_1320_1380_ch0.wav,5292044,22,uploaded,True,1,{},2023-09-14T17:41:18+02:00
2025-03-11T16:03:17.472862+01:00,37211,2025-03-14T09:14:31.524835+01:00,cmb---_20230914_154118_1380_1440_ch0.wav,2024-03-06T11:43:22+01:00,55,cmb---_20230914_154118_1380_1440_ch0.wav,5292044,22,uploaded,True,1,{},2023-09-14T17:41:18+02:00
2025-03-11T16:03:17.474421+01:00,37213,2025-03-14T09:14:31.533340+01:00,cmb---_20230914_154118_1440_1500_ch0.wav,2024-03-06T11:43:22+01:00,55,cmb---_20230914_154118_1440_1500_ch0.wav,5292044,22,uploaded,True,1,{},2023-09-14T17:41:18+02:00
2025-03-11T16:03:17.475127+01:00,37214,2025-03-14T09:14:31.537592+01:00,cmb---_20230914_154118_1440_1500_ch1.wav,2024-03-06T11:43:24+01:00,55,cmb---_20230914_154118_1440_1500_ch1.wav,5292044,22,uploaded,True,1,{},2023-09-14T17:41:18+02:00
2025-03-11T16:03:17.477492+01:00,37217,2025-03-14T09:14:31.550597+01:00,cmb---_20230914_154118_1560_1620_ch0.wav,2024-03-06T11:43:22+01:00,55,cmb---_20230914_154118_1560_1620_ch0.wav,5292044,22,uploaded,True,1,{},2023-09-14T17:41:18+02:00
2025-03-11T16:03:17.478192+01:00,37218,2025-03-14T09:14:31.555002+01:00,cmb---_20230914_154118_1560_1620_ch1.wav,2024-03-06T11:43:24+01:00,55,cmb---_20230914_154118_1560_1620_ch1.wav,5292044,22,uploaded,True,1,{},2023-09-14T17:41:18+02:00
2025-03-11T16:03:17.478971+01:00,37219,2025-03-14T09:14:31.559373+01:00,cmb---_20230914_154118_1620_1680_ch0.wav,2024-03-06T11:43:22+01:00,55,cmb---_20230914_154118_1620_1680_ch0.wav,5292044,22,uploaded,True,1,{},2023-09-14T17:41:18+02:00
2025-03-11T16:03:17.480436+01:00,37221,2025-03-14T09:14:31.568191+01:00,cmb---_20230914_154118_1680_1740_ch0.wav,2024-03-06T11:43:22+01:00,55,cmb---_20230914_154118_1680_1740_ch0.wav,5292044,22,uploaded,True,1,{},2023-09-14T17:41:18+02:00
2025-03-11T16:03:17.481923+01:00,37223,2025-03-14T09:14:31.577103+01:00,cmb---_20230914_154118_1740_1800_ch0.wav,2024-03-06T11:43:22+01:00,55,cmb---_20230914_154118_1740_1800_ch0.wav,5292044,22,uploaded,True,1,{},2023-09-14T17:41:18+02:00
2025-03-11T16:03:17.482659+01:00,37224,2025-03-14T09:14:31.581586+01:00,cmb---_20230914_154118_1740_1800_ch1.wav,2024-03-06T11:43:24+01:00,55,cmb---_20230914_154118_1740_1800_ch1.wav,5292044,22,uploaded,True,1,{},2023-09-14T17:41:18+02:00
2025-03-11T16:03:17.484171+01:00,37226,2025-03-14T09:14:31.589896+01:00,cmb---_20230914_154118_1800_1860_ch1.wav,2024-03-06T11:43:24+01:00,55,cmb---_20230914_154118_1800_1860_ch1.wav,5292044,22,uploaded,True,1,{},2023-09-14T17:41:18+02:00
2025-03-11T16:03:17.484970+01:00,37227,2025-03-14T09:14:31.594808+01:00,cmb---_20230914_154118_1860_1920_ch0.wav,2024-03-06T11:43:22+01:00,55,cmb---_20230914_154118_1860_1920_ch0.wav,5292044,22,uploaded,True,1,{},2023-09-14T17:41:18+02:00
2025-03-11T16:03:17.485715+01:00,37228,2025-03-14T09:14:31.599063+01:00,cmb---_20230914_154118_1860_1920_ch1.wav,2024-03-06T11:43:24+01:00,55,cmb---_20230914_154118_1860_1920_ch1.wav,5292044,22,uploaded,True,1,{},2023-09-14T17:41:18+02:00
2025-03-11T16:03:17.486526+01:00,37229,2025-03-14T09:14:31.603775+01:00,cmb---_20230914_154118_1920_1980_ch0.wav,2024-03-06T11:43:22+01:00,55,cmb---_20230914_154118_1920_1980_ch0.wav,5292044,22,uploaded,True,1,{},2023-09-14T17:41:18+02:00
2025-03-11T16:03:17.487245+01:00,37230,2025-03-14T09:14:31.608357+01:00,cmb---_20230914_154118_1920_1980_ch1.wav,2024-03-06T11:43:24+01:00,55,cmb---_20230914_154118_1920_1980_ch1.wav,5292044,22,uploaded,True,1,{},2023-09-14T17:41:18+02:00
2025-03-11T16:03:17.487914+01:00,37231,2025-03-14T09:14:31.613298+01:00,cmb---_20230914_154118_1980_2040_ch0.wav,2024-03-06T11:43:22+01:00,55,cmb---_20230914_154118_1980_2040_ch0.wav,5292044,22,uploaded,True,1,{},2023-09-14T17:41:18+02:00
2025-03-11T16:03:17.488710+01:00,37232,2025-03-14T09:14:31.618362+01:00,cmb---_20230914_154118_1980_2040_ch1.wav,2024-03-06T11:43:24+01:00,55,cmb---_20230914_154118_1980_2040_ch1.wav,5292044,22,uploaded,True,1,{},2023-09-14T17:41:18+02:00
2025-03-11T16:03:17.489405+01:00,37233,2025-03-14T09:14:31.623373+01:00,cmb---_20230914_154118_2760_2820_ch1.wav,2024-03-06T11:43:24+01:00,55,cmb---_20230914_154118_2760_2820_ch1.wav,5292044,22,uploaded,True,1,{},2023-09-14T17:41:18+02:00
2025-03-11T16:03:17.490110+01:00,37234,2025-03-14T09:14:31.628149+01:00,cmb---_20230914_154118_2820_2880_ch0.wav,2024-03-06T11:43:24+01:00,55,cmb---_20230914_154118_2820_2880_ch0.wav,5292044,22,uploaded,True,1,{},2023-09-14T17:41:18+02:00
2025-03-11T16:03:17.490929+01:00,37235,2025-03-14T09:14:31.633000+01:00,cmb---_20230914_154118_2820_2880_ch1.wav,2024-03-06T11:43:24+01:00,55,cmb---_20230914_154118_2820_2880_ch1.wav,5292044,22,uploaded,True,1,{},2023-09-14T17:41:18+02:00
2025-03-11T16:03:17.491723+01:00,37236,2025-03-14T09:14:31.637917+01:00,cmb---_20230914_154118_2880_2940_ch0.wav,2024-03-06T11:43:24+01:00,55,cmb---_20230914_154118_2880_2940_ch0.wav,5292044,22,uploaded,True,1,{},2023-09-14T17:41:18+02:00
2025-03-11T16:03:17.492491+01:00,37237,2025-03-14T09:14:31.642790+01:00,cmb---_20230914_154118_2880_2940_ch1.wav,2024-03-06T11:43:24+01:00,55,cmb---_20230914_154118_2880_2940_ch1.wav,5292044,22,uploaded,True,1,{},2023-09-14T17:41:18+02:00
2025-03-11T16:03:17.493170+01:00,37238,2025-03-14T09:14:31.647919+01:00,cmb---_20230914_154118_2940_3000_ch0.wav,2024-03-06T11:43:24+01:00,55,cmb---_20230914_154118_2940_3000_ch0.wav,5292044,22,uploaded,True,1,{},2023-09-14T17:41:18+02:00
2025-03-11T16:03:17.493912+01:00,37239,2025-03-14T09:14:31.652380+01:00,cmb---_20230914_154118_2940_3000_ch1.wav,2024-03-06T11:43:24+01:00,55,cmb---_20230914_154118_2940_3000_ch1.wav,5292044,22,uploaded,True,1,{},2023-09-14T17:41:18+02:00
2025-03-11T16:03:17.495414+01:00,37241,2025-03-14T09:14:31.660878+01:00,cmb---_20230914_154118_3000_3060_ch1.wav,2024-03-06T11:43:24+01:00,55,cmb---_20230914_154118_3000_3060_ch1.wav,5292044,22,uploaded,True,1,{},2023-09-14T17:41:18+02:00
2025-03-11T16:03:17.496192+01:00,37242,2025-03-14T09:14:31.664874+01:00,cmb---_20230914_154118_3060_3120_ch0.wav,2024-03-06T11:43:24+01:00,55,cmb---_20230914_154118_3060_3120_ch0.wav,5292044,22,uploaded,True,1,{},2023-09-14T17:41:18+02:00
2025-03-11T16:03:17.496910+01:00,37243,2025-03-14T09:14:31.668972+01:00,cmb---_20230914_154118_3060_3120_ch1.wav,2024-03-06T11:43:24+01:00,55,cmb---_20230914_154118_3060_3120_ch1.wav,5292044,22,uploaded,True,1,{},2023-09-14T17:41:18+02:00
2025-03-11T16:03:17.497676+01:00,37244,2025-03-14T09:14:31.674219+01:00,cmb---_20230914_154118_3120_3180_ch0.wav,2024-03-06T11:43:24+01:00,55,cmb---_20230914_154118_3120_3180_ch0.wav,5292044,22,uploaded,True,1,{},2023-09-14T17:41:18+02:00
2025-03-11T16:03:17.451850+01:00,37188,2025-03-14T09:14:31.424768+01:00,cmb---_20230914_154118_660_720_ch1.wav,2024-03-06T11:43:24+01:00,55,cmb---_20230914_154118_660_720_ch1.wav,5292044,22,uploaded,True,1,{},2023-09-14T17:41:18+02:00
2025-03-11T16:03:17.459606+01:00,37195,2025-03-14T09:14:31.453260+01:00,cmb---_20230914_154118_900_960_ch0.wav,2024-03-06T11:43:22+01:00,55,cmb---_20230914_154118_900_960_ch0.wav,5292044,22,uploaded,True,1,{},2023-09-14T17:41:18+02:00
2025-03-11T16:03:17.463751+01:00,37200,2025-03-14T09:14:31.475158+01:00,cmb---_20230914_154118_1020_1080_ch1.wav,2024-03-06T11:43:24+01:00,55,cmb---_20230914_154118_1020_1080_ch1.wav,5292044,22,uploaded,True,1,{},2023-09-14T17:41:18+02:00
2025-03-11T16:03:17.467760+01:00,37205,2025-03-14T09:14:31.496793+01:00,cmb---_20230914_154118_1200_1260_ch0.wav,2024-03-06T11:43:22+01:00,55,cmb---_20230914_154118_1200_1260_ch0.wav,5292044,22,uploaded,True,1,{},2023-09-14T17:41:18+02:00
2025-03-11T16:03:17.472051+01:00,37210,2025-03-14T09:14:31.520832+01:00,cmb---_20230914_154118_1320_1380_ch1.wav,2024-03-06T11:43:24+01:00,55,cmb---_20230914_154118_1320_1380_ch1.wav,5292044,22,uploaded,True,1,{},2023-09-14T17:41:18+02:00
